,index_left,N_,ENDERECO,BAIRRO,CIDADE,NUCLEO,PROTOCOLO,SECRETARIA,DATA,DATA_ATEND,HORA,FLAGRANTE,MODIFICADO,ORIGINAL,NATUREZA,date,score,hex,NOME,geometry
0,323.0,328.0,"R. FRANCISCO JOSÉ LOBO, 379",SÍTIO CERCADO,CURITIBA,Bairro Novo,21544/2009,SMDS,15-11-2009,2009-11-15,21:06:00,NÃO,,,Alagamento,2020-05-18,100,88a831acc7fffff,BAIRRO NOVO,"POLYGON ((-49.27455781428023 -25.537638448045946, -49.270405175714615 -25.534930506545987, -49.27126354011573 -25.53040181434035, -49.27627444225334 -25.52858115114508, -49.2804269592526 -25.53128917959227, -49.27956869568991 -25.535817784277132, -49.27455781428023 -25.537638448045946))"
0,507.0,521.0,"R. LEONARDO ABAGGIO, 326",SÍTIO CERCADO,CURITIBA,Bairro Novo,18217/2012,SMDS,02-12-2012,2012-12-02,19:55:00,NÃO,,,Alagamento,2020-05-18,100,88a831acc7fffff,BAIRRO NOVO,"POLYGON ((-49.27455781428023 -25.537638448045946, -49.270405175714615 -25.534930506545987, -49.27126354011573 -25.53040181434035, -49.27627444225334 -25.52858115114508, -49.2804269592526 -25.53128917959227, -49.27956869568991 -25.535817784277132, -49.27455781428023 -25.537638448045946))"
0,1523.0,1579.0,"R. DOS PIONEIROS, 1",TATUQUARA,CURITIBA,Tatuquara,02256/2011,SMDS,30-01-2011,2011-01-30,15:33:00,NÃO,,,Alagamento,2020-05-18,100,88a831acc7fffff,BAIRRO NOVO,"POLYGON ((-49.27455781428023 -25.537638448045946, -49.270405175714615 -25.534930506545987, -49.27126354011573 -25.53040181434035, -49.27627444225334 -25.52858115114508, -49.2804269592526 -25.53128917959227, -49.27956869568991 -25.535817784277132, -49.27455781428023 -25.537638448045946))"
0,1864.0,1926.0,"R. MARIA DA LUZ ROQUEMBAUER, 1028",SÍTIO CERCADO,CURITIBA,Bairro Novo,00365/2011,SMDS,06-01-2011,2011-01-06,23:02:00,NÃO,,,Alagamento,2020-05-18,100,88a831acc7fffff,BAIRRO NOVO,"POLYGON ((-49.27455781428023 -25.537638448045946, -49.270405175714615 -25.534930506545987, -49.27126354011573 -25.53040181434035, -49.27627444225334 -25.52858115114508, -49.2804269592526 -25.53128917959227, -49.27956869568991 -25.535817784277132, -49.27455781428023 -25.537638448045946))"
1,146.0,148.0,"R. CIDADE DE XAXIM, 333",SÍTIO CERCADO,CURITIBA,Bairro Novo,22908/2014,SMDS,25-11-2014,2014-11-25,20:08:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,162.0,164.0,"R. CORONEL JOAQUIM DE AZEVEDO, 26",SÍTIO CERCADO,CURITIBA,Bairro Novo,22593/2009,SMDS,28-11-2009,2009-11-28,11:02:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,505.0,519.0,"R. DA LUA, 155",SÍTIO CERCADO,CURITIBA,Bairro Novo,18219/2012,SMDS,02-12-2012,2012-12-02,20:17:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,1101.0,1143.0,"R. PLUTÃO, 23",SÍTIO CERCADO,CURITIBA,Bairro Novo,05743/2012,SMDS,08-04-2012,2012-04-08,16:41:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,1166.0,1211.0,"AV. DO CANAL, 3",SÍTIO CERCADO,CURITIBA,Bairro Novo,04803/2014,SMDS,08-03-2014,2014-03-08,20:10:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,1439.0,1493.0,"R. SEBASTIÃO LIMA, 5190",BOQUEIRÃO,CURITIBA,Boqueirao,02564/2011,SMDS,03-02-2011,2011-02-03,16:30:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,1445.0,1501.0,"R. CIDADE DE SANTA MARIANA, 437",SÍTIO CERCADO,CURITIBA,Bairro Novo,02522/2011,SMDS,03-02-2011,2011-02-03,16:30:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,1721.0,1782.0,"R. CIDADE DE XAXIM, 701",SÍTIO CERCADO,CURITIBA,Bairro Novo,01403/2011,SMDS,20-01-2011,2011-01-20,19:19:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,1779.0,1841.0,"R. MIGUEL OLESKOWICZ, 25",SÍTIO CERCADO,CURITIBA,Bairro Novo,00998/2009,SMDS,15-01-2009,2009-01-15,01:42:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
2,158.0,160.0,"R. ALZIRO ZARUR, 145",SÍTIO CERCADO,CURITIBA,Bairro Novo,22606/2009,SMDS,28-11-2009,2009-11-28,14:50:00,NÃO,,,Alagamento,2020-04-01,100,88a831acebfffff,BAIRRO NOVO,"POLYGON ((-49.26539407770731 -25.536750906362453, -49.26124132347513 -25.53404261343732, -49.262099788677496 -25.529513833789196, -49.267110907320095 -25.52769343449831, -49.27126354011573 -25.53040181434035, -49.270405175714615 -25.534930506545987, -49.26539407770731 -25.536750906362453))"
2,709.0,735.0,"R. ARCANJO SÃO RAFAEL, 137",SÍTIO CERCADO,CURITIBA,Bairro Novo,16004/2010,SMDS,24-09-2010,2010-09-24,20:40:00,NÃO,,,Alagamento,2020-04-01,100,88a831acebfffff,BAIRRO NOVO,"POLYGON ((-49.26539407770731 -25.536750906362453, -49.26124132347513 -25.53404261343732, -49.262099788677496 -25.529513833789196, -49.267110907320095 -25.52769343449831, -49.27126354011573 -25.53040181434035, -49.270405175714615 -25.534930506545987, -49.26539407770731 -25.536750906362453))"
2,715.0,741.0,"R. VALDIR MAZZUCO, 126",SÍTIO CERCADO,CURITIBA,Bairro Novo,15783/2012,SMDS,22-10-2012,2012-10-23,23:26:00,NÃO,,,Alagamento,2020-04-01,100,88a831acebfffff,BAIRRO NOVO,"POLYGON ((-49.26539407770731 -25.536750906362453, -49.26124132347513 -25.53404261343732, -49.262099788677496 -25.529513833789196, -49.267110907320095 -25.52769343449831, -49.27126354011573 -25.53040181434035, -49.270405175714615 -25.534930506545987, -49.26539407770731 -25.536750906362453))"
2,749.0,777.0,"R. DA LUA, 45",SÍTIO CERCADO,CURITIBA,Bairro Novo,13761/2009,SMDS,26-07-2009,2009-07-26,15:30:00,NÃO,,,Alagamento,2020-04-01,100,88a831acebfffff,BAIRRO NOVO,"POLYGON ((-49.26539407770731 -25.536750906362453, -49.26124132347513 -25.53404261343732, -49.262099788677496 -25.529513833789196, -49.267110907320095 -25.52769343449831, -49.27126354011573 -25.53040181434035, -49.270405175714615 -25.534930506545987, -49.26539407770731 -25.536750906362453))"
3,133.0,135.0,"R. OTHON CRISTOVAO CESCATTO, 89",SÍTIO CERCADO,CURITIBA,Bairro Novo,23810/2014,SMDS,08-12-2014,2014-12-08,19:37:00,NÃO,,,Alagamento,2020-07-12,100,88a831acc5fffff,BAIRRO NOVO,"POLYGON ((-49.268688398995586 -25.54398710276191, -49.264535638944 -25.54127924819165, -49.26539407770731 -25.536750906362453, -49.270405175714615 -25.534930506545987, -49.27455781428023 -25.537638448045946, -49.27369947633382 -25.542166702422286, -49.268688398995586 -25.54398710276191))"
3,606.0,626.0,"R. SÃO JOSÉ DE ARIMATÉIA, 194",SÍTIO CERCADO,CURITIBA,Bairro Novo,17334/2009,SMDS,18-09-2009,2009-09-18,21:06:00,NÃO,,,Alagamento,2020-07-12,100,88a831acc5fffff,BAIRRO NOVO,"POLYGON ((-49.268688398995586 -25.54398710276191, -49.264535638944 -25.54127924819165, -49.26539407770731 -25.536750906362453, -49.270405175714615 -25.534930506545987, -49.27455781428023 -25.537638448045946, -49.27369947633382 -25.542166702422286, -49.268688398995586 -25.54398710276191))"
3,679.0,704.0,"R. SÃO JOSÉ DE ARIMATÉIA, 193",SÍTIO CERCADO,CURITIBA,Bairro Novo,16618/2009,SMDS,09-09-2009,2009-09-09,12:02:00,NÃO,,,Alagamento,2020-07-12,100,88a831acc5fffff,BAIRRO NOVO,"POLYGON ((-49.268688398995586 -25.54398710276191, -49.264535638944 -25.54127924819165, -49.26539407770731 -25.536750906362453, -49.270405175714615 -25.534930506545987, -49.27455781428023 -25.537638448045946, -49.27369947633382 -25.542166702422286, -49.268688398995586 -25.54398710276191))"
3,878.0,913.0,"R. SÃO JOSÉ DOS PINHAIS, 93",SÍTIO CERCADO,CURITIBA,Bairro Novo,10609/2014,SMDS,26-05-2014,2014-05-26,11:05:00,NÃO,,,Alagamento,2020-07-12,100,88a831acc5fffff,BAIRRO NOVO,"POLYGON ((-49.268688398995586 -25.54398710276191, -49.264535638944 -25.54127924819165, -49.26539407770731 -25.536750906362453, -49.270405175714615 -25.534930506545987, -49.27455781428023 -25.537638448045946, -49.27369947633382 -25.542166702422286, -49.268688398995586 -25.54398710276191))"
3,1772.0,1834.0,,SÍTIO CERCADO,CURITIBA,Bairro Novo,01220/2010,SMDS,21-01-2010,2010-01-21,16:01:00,NÃO,,,Alagamento,2020-07-12,100,88a831acc5fffff,BAIRRO NOVO,"POLYGON ((-49.268688398995586 -25.54398710276191, -49.264535638944 -25.54127924819165, -49.26539407770731 -25.536750906362453, -49.270405175714615 -25.534930506545987, -49.27455781428023 -25.537638448045946, -49.27369947633382 -25.542166702422286, -49.268688398995586 -25.54398710276191))"
3,1814.0,1876.0,"R. TIJUCAS DO SUL, 687",SÍTIO CERCADO,CURITIBA,Bairro Novo,00770/2014,SMDS,12-01-2014,2014-01-12,21:22:00,NÃO,,,Alagamento,2020-07-12,100,88a831acc5fffff,BAIRRO NOVO,"POLYGON ((-49.268688398995586 -25.54398710276191, -49.264535638944 -25.54127924819165, -49.26539407770731 -25.536750906362453, -49.270405175714615 -25.534930506545987, -49.27455781428023 -25.537638448045946, -49.27369947633382 -25.542166702422286, -49.268688398995586 -25.54398710276191))"
4,38.0,40.0,"R. FRANCISCO KOCHINSKI, 520",SÍTIO CERCADO,CURITIBA,Bairro Novo,24377/2009,SMDS,22-12-2009,2009-12-22,15:00:00,NÃO,,,Alagamento,2020-04-25,99,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
4,143.0,145.0,"R. EXPEDICIONÁRIO FRANCISCO A DE OLIVEIRA, 887",ALTO BOQUEIRÃO,CURITIBA,Boqueirao,22916/2014,SMMA,25-11-2014,2014-11-25,20:52:00,NÃO,,,Alagamento,2020-04-25,99,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
4,515.0,529.0,"R. FRANCISCO KOCHINSKI, 520",SÍTIO CERCADO,CURITIBA,Bairro Novo,18196/2012,SMDS,02-12-2012,2012-12-02,16:54:00,NÃO,,,Alagamento,2020-04-25,99,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
4,1150.0,1194.0,R. EXPEDICIONÁRIO FRANCISCO A DE OLIVEIRA. 887,ALTO BOQUEIRÃO,CURITIBA,Boqueirao,04918/2012,SMDS,27-03-2012,2012-03-27,02:21:00,NÃO,,,Alagamento,2020-04-25,99,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
4,1554.0,1611.0,"R. MÁRIO GASPARIN, 1447",SÍTIO CERCADO,CURITIBA,Bairro Novo,02181/2011,SMDS,29-01-2011,2011-01-29,21:12:00,NÃO,,,Alagamento,2020-04-25,99,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
4,1573.0,1631.0,"R. PREFEITO SAMUEL MILEO, 763",SÍTIO CERCADO,CURITIBA,Bairro Novo,01888/2009,SMDS,26-01-2009,2009-01-26,23:53:00,NÃO,,,Alagamento,2020-04-25,99,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
4,1735.0,1796.0,"R. MILTON MIRAMIR VISINONI, 34",SÍTIO CERCADO,CURITIBA,Bairro Novo,01389/2011,SMDS,20-01-2011,2011-01-20,18:31:00,NÃO,,,Alagamento,2020-04-25,99,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
4,1786.0,1848.0,"R. OPERÁRIO SANTO DIAS, 400",SÍTIO CERCADO,CURITIBA,Bairro Novo,00892/2013,SMDS,18-01-2013,2013-01-18,20:18:00,NÃO,,,Alagamento,2020-04-25,99,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
5,38.0,40.0,"R. FRANCISCO KOCHINSKI, 520",SÍTIO CERCADO,CURITIBA,Bairro Novo,24377/2009,SMDS,22-12-2009,2009-12-22,15:00:00,NÃO,,,Alagamento,2020-08-23,100,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
5,143.0,145.0,"R. EXPEDICIONÁRIO FRANCISCO A DE OLIVEIRA, 887",ALTO BOQUEIRÃO,CURITIBA,Boqueirao,22916/2014,SMMA,25-11-2014,2014-11-25,20:52:00,NÃO,,,Alagamento,2020-08-23,100,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
5,515.0,529.0,"R. FRANCISCO KOCHINSKI, 520",SÍTIO CERCADO,CURITIBA,Bairro Novo,18196/2012,SMDS,02-12-2012,2012-12-02,16:54:00,NÃO,,,Alagamento,2020-08-23,100,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
5,1150.0,1194.0,R. EXPEDICIONÁRIO FRANCISCO A DE OLIVEIRA. 887,ALTO BOQUEIRÃO,CURITIBA,Boqueirao,04918/2012,SMDS,27-03-2012,2012-03-27,02:21:00,NÃO,,,Alagamento,2020-08-23,100,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
5,1554.0,1611.0,"R. MÁRIO GASPARIN, 1447",SÍTIO CERCADO,CURITIBA,Bairro Novo,02181/2011,SMDS,29-01-2011,2011-01-29,21:12:00,NÃO,,,Alagamento,2020-08-23,100,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
5,1573.0,1631.0,"R. PREFEITO SAMUEL MILEO, 763",SÍTIO CERCADO,CURITIBA,Bairro Novo,01888/2009,SMDS,26-01-2009,2009-01-26,23:53:00,NÃO,,,Alagamento,2020-08-23,100,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
5,1735.0,1796.0,"R. MILTON MIRAMIR VISINONI, 34",SÍTIO CERCADO,CURITIBA,Bairro Novo,01389/2011,SMDS,20-01-2011,2011-01-20,18:31:00,NÃO,,,Alagamento,2020-08-23,100,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
5,1786.0,1848.0,"R. OPERÁRIO SANTO DIAS, 400",SÍTIO CERCADO,CURITIBA,Bairro Novo,00892/2013,SMDS,18-01-2013,2013-01-18,20:18:00,NÃO,,,Alagamento,2020-08-23,100,88a831acedfffff,BAIRRO NOVO,"POLYGON ((-49.25035995958426 -25.54221105064319, -49.24620696866602 -25.53950249319006, -49.247065608951615 -25.534973976689987, -49.25207713942222 -25.533154104928954, -49.256230009114155 -25.535862749251187, -49.2553714695711 -25.540391178454964, -49.25035995958426 -25.54221105064319))"
6,14.0,15.0,"R. GUILHERME BRUSCHZ, 601",SÍTIO CERCADO,CURITIBA,Bairro Novo,24875/2015,SMOP,19-12-2015,2015-12-19,19:20:00,NÃO,,,Alagamento,2020 -08 -05,100,88a831ace9fffff,BAIRRO NOVO,"POLYGON ((-49.25952434515944 -25.543099384480698, -49.2553714695711 -25.540391178454964, -49.256230009114155 -25.535862749251187, -49.26124132347513 -25.53404261343732, -49.26539407770731 -25.536750906362453, -49.264535638944 -25.54127924819165, -49.25952434515944 -25.543099384480698))"
6,30.0,31.0,"TV. PAULO PAIVA, 30",SÍTIO CERCADO,CURITIBA,Bairro Novo,24398/2009,SMDS,22-12-2009,2009-12-22,17:58:00,NÃO,,,Alagamento,2020 -08 -05,100,88a831ace9fffff,BAIRRO NOVO,"POLYGON ((-49.25952434515944 -25.543099384480698, -49.2553714695711 -25.540391178454964, -49.256230009114155 -25.535862749251187, -49.26124132347513 -25.53404261343732, -49.26539407770731 -25.536750906362453, -49.264535638944 -25.54127924819165, -49.25952434515944 -25.543099384480698))"
6,47.0,49.0,"R. DONATO GRACCO, 193",SÍTIO CERCADO,CURITIBA,Bairro Novo,24367/2009,SMDS,22-12-2009,2009-12-22,14:30:00,NÃO,NOME,"R. DONATO CRACCO, 193",Alagamento,2020 -08 -05,100,88a831ace9fffff,BAIRRO NOVO,"POLYGON ((-49.25952434515944 -25.543099384480698, -49.2553714695711 -25.540391178454964, -49.256230009114155 -25.535862749251187, -49.26124132347513 -25.53404261343732, -49.26539407770731 -25.536750906362453, -49.264535638944 -25.54127924819165, -49.25952434515944 -25.543099384480698))"
6,139.0,141.0,"R. DONATO GRACCO, 193",SÍTIO CERCADO,CURITIBA,Bairro Novo,22958/2009,SMDS,02-12-2009,2009-12-02,22:00:00,NÃO,NOME,"R. DONATO CRACCO, 193",Alagamento,2020 -08 -05,100,88a831ace9fffff,BAIRRO NOVO,"POLYGON ((-49.25952434515944 -25.543099384480698, -49.2553714695711 -25.540391178454964, -49.256230009114155 -25.535862749251187, -49.26124132347513 -25.53404261343732, -49.26539407770731 -25.536750906362453, -49.264535638944 -25.54127924819165, -49.25952434515944 -25.543099384480698))"
6,516.0,530.0,"R. CIDADE DAS SAUDADES, 400",SÍTIO CERCADO,CURITIBA,Bairro Novo,18195/2012,SMDS,02-12-2012,2012-12-02,16:43:00,NÃO,,,Alagamento,2020 -08 -05,100,88a831ace9fffff,BAIRRO NOVO,"POLYGON ((-49.25952434515944 -25.543099384480698, -49.2553714695711 -25.540391178454964, -49.256230009114155 -25.535862749251187, -49.26124132347513 -25.53404261343732, -49.26539407770731 -25.536750906362453, -49.264535638944 -25.54127924819165, -49.25952434515944 -25.543099384480698))"
6,774.0,805.0,"PC. NAPOLEÃO CORTÊS FILHO, 748",SÍTIO CERCADO,CURITIBA,Bairro Novo,13438/2013,SMDS,21-07-2013,2013-07-21,01:55:00,NÃO,,,Alagamento,2020 -08 -05,100,88a831ace9fffff,BAIRRO NOVO,"POLYGON ((-49.25952434515944 -25.543099384480698, -49.2553714695711 -25.540391178454964, -49.256230009114155 -25.535862749251187, -49.26124132347513 -25.53404261343732, -49.26539407770731 -25.536750906362453, -49.264535638944 -25.54127924819165, -49.25952434515944 -25.543099384480698))"
6,1631.0,1689.0,"R. GUILHERME BRUSCHZ, 286",SÍTIO CERCADO,CURITIBA,Bairro Novo,01713/2011,SMDS,23-01-2011,2011-01-23,18:23:00,NÃO,,,Alagamento,2020 -08 -05,100,88a831ace9fffff,BAIRRO NOVO,"POLYGON ((-49.25952434515944 -25.543099384480698, -49.2553714695711 -25.540391178454964, -49.256230009114155 -25.535862749251187, -49.26124132347513 -25.53404261343732, -49.26539407770731 -25.536750906362453, -49.264535638944 -25.54127924819165, -49.25952434515944 -25.543099384480698))"
6,1810.0,1872.0,"R. JOSÉ AUGUSTO DA SILVA, 109",SÍTIO CERCADO,CURITIBA,Bairro Novo,00775/2014,SMDS,12-01-2014,2014-01-12,21:40:00,NÃO,,,Alagamento,2020 -08 -05,100,88a831ace9fffff,BAIRRO NOVO,"POLYGON ((-49.25952434515944 -25.543099384480698, -49.2553714695711 -25.540391178454964, -49.256230009114155 -25.535862749251187, -49.26124132347513 -25.53404261343732, -49.26539407770731 -25.536750906362453, -49.264535638944 -25.54127924819165, -49.25952434515944 -25.543099384480698))"
6,1869.0,1931.0,"R. CIDADE DE OURO, 200",SÍTIO CERCADO,CURITIBA,Bairro Novo,00360/2011,SMDS,06-01-2011,2011-01-06,22:50:00,NÃO,,,Alagamento,2020 -08 -05,100,88a831ace9fffff,BAIRRO NOVO,"POLYGON ((-49.25952434515944 -25.543099384480698, -49.2553714695711 -25.540391178454964, -49.256230009114155 -25.535862749251187, -49.26124132347513 -25.53404261343732, -49.26539407770731 -25.536750906362453, -49.264535638944 -25.54127924819165, -49.25952434515944 -25.543099384480698))"
7,14.0,15.0,"R. GUILHERME BRUSCHZ, 601",SÍTIO CERCADO,CURITIBA,Bairro Novo,24875/2015,SMOP,19-12-2015,2015-12-19,19:20:00,NÃO,,,Alagamento,2020 -03 -17,99,88a831ace9fffff,BAIRRO NOVO,"POLYGON ((-49.25952434515944 -25.543099384480698, -49.2553714695711 -25.540391178454964, -49.256230009114155 -25.535862749251187, -49.26124132347513 -25.53404261343732, -49.26539407770731 -25.536750906362453, -49.264535638944 -25.54127924819165, -49.25952434515944 -25.543099384480698))"
7,30.0,31.0,"TV. PAULO PAIVA, 30",SÍTIO CERCADO,CURITIBA,Bairro Novo,24398/2009,SMDS,22-12-2009,2009-12-22,17:58:00,NÃO,,,Alagamento,2020 -03 -17,99,88a831ace9fffff,BAIRRO NOVO,"POLYGON ((-49.25952434515944 -25.543099384480698, -49.2553714695711 -25.540391178454964, -49.256230009114155 -25.535862749251187, -49.26124132347513 -25.53404261343732, -49.26539407770731 -25.536750906362453, -49.264535638944 -25.54127924819165, -49.25952434515944 -25.543099384480698))"
7,47.0,49.0,"R. DONATO GRACCO, 193",SÍTIO CERCADO,CURITIBA,Bairro Novo,24367/2009,SMDS,22-12-2009,2009-12-22,14:30:00,NÃO,NOME,"R. DONATO CRACCO, 193",Alagamento,2020 -03 -17,99,88a831ace9fffff,BAIRRO NOVO,"POLYGON ((-49.25952434515944 -25.543099384480698, -49.2553714695711 -25.540391178454964, -49.256230009114155 -25.535862749251187, -49.26124132347513 -25.53404261343732, -49.26539407770731 -25.536750906362453, -49.264535638944 -25.54127924819165, -49.25952434515944 -25.543099384480698))"
